LAS mean service time (hr),DEN mean service time (hr),MDW mean service time (hr),LAS initial aircraft reserve,DEN initial aircraft reserve,MDW initial aircraft reserve,LAS->DEN travel time (hr),LAS->MDW travel time (hr),DEN->MDW travel time (hr),DEN->LAS travel time (hr),MDW->LAS travel time (hr),MDW->DEN travel time (hr),State,Day,Duration,Date
0.25456896,0.12635285,0.036054578,6.3792205,6.896672,2.2892687,1.7159209,3.3162758,1.9403815,1.7382362,3.937131,2.4718258,Nominal,0,1,2022-12-01
0.21102136,0.15869251,0.15928994,7.032155,6.3444123,2.4581566,1.7320346,3.4099836,1.8690592,1.7145514,3.8132634,2.3978174,Nominal,0,1,2022-12-01
0.18756019,0.16401224,0.07035075,7.09953,6.271792,2.6013207,1.6373175,3.3961322,1.8840666,1.7081717,3.9581642,2.4201145,Nominal,0,1,2022-12-01
0.18523398,0.14953597,0.05072925,6.5241065,6.8376265,2.1982145,1.6916572,3.3750455,1.8977903,1.7700343,3.8369057,2.4107292,Nominal,0,1,2022-12-01
0.29342735,0.11857735,0.07405793,5.606628,6.8859096,2.4987657,1.6994572,3.3549619,1.8774493,1.7850547,3.9434712,2.543385,Nominal,0,1,2022-12-01
0.22234114,0.14081195,0.12107737,6.149787,5.782313,2.2834237,1.6772019,3.2555454,1.8689073,1.7558719,3.922718,2.3156314,Nominal,0,1,2022-12-01
0.16093199,0.14792293,0.1266523,5.6040425,6.901002,2.2441628,1.7483295,3.1962233,1.9127429,1.787716,4.1119065,2.52122,Nominal,0,1,2022-12-01
0.30294064,0.1470815,0.079160415,6.429164,6.7730036,3.0541966,1.7487308,3.179971,1.836709,1.7470427,3.9363143,2.4327881,Nominal,0,1,2022-12-01
0.30090892,0.13819596,0.06313007,5.8220625,7.0091724,2.3339696,1.5982699,3.159516,1.9734578,1.749408,3.970398,2.4858851,Nominal,0,1,2022-12-01
0.20692416,0.2668422,0.091795065,7.292789,6.275792,2.3355339,1.8013414,3.2240055,1.9432048,1.7288435,4.008575,2.5038269,Nominal,0,1,2022-12-01
0.21115468,0.12531917,0.121825166,6.9289427,6.4348054,3.3529077,1.6990852,3.2277913,1.8825868,1.7738403,4.0054245,2.490192,Nominal,0,1,2022-12-01
0.17837416,0.1269305,0.074788794,7.8440056,6.5635357,2.6385572,1.7561455,3.2285533,1.9817044,1.6721094,3.7905195,2.4426389,Nominal,0,1,2022-12-01
0.1587837,0.18512428,0.057295356,7.1213317,6.507241,2.4848118,1.8378409,3.4306438,1.8773721,1.7305558,3.9899738,2.5157487,Nominal,0,1,2022-12-01
0.21228579,0.13820738,0.08983848,6.5678988,6.478688,2.5489922,1.719497,3.0091095,1.98609,1.7199638,3.8128052,2.4107077,Nominal,0,1,2022-12-01
0.24175406,0.117594115,0.10058288,8.370127,6.4774084,2.9391768,1.6990838,3.2832017,2.0136397,1.7216926,4.167564,2.4499176,Nominal,0,1,2022-12-01
0.22084232,0.1427142,0.06704317,7.0544496,6.233001,2.5904486,1.7418677,3.2191725,1.8592004,1.7875354,3.947058,2.3809137,Nominal,0,1,2022-12-01
